Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Zebun,,Korku,"Mesut Erba?, Hakan Yusufo?ullar?",04/29/2022,90099,2930424,"Zer Film, HM Productions","Hakan Akgün, Sema ?im?ek, Almina Kahraman",2.9,9,Türkiye
Kendinden Kaçak,,Komedi,Levent Türkan,04/08/2022,85935,2412948,Blackwhite Film Prodüksiyon,"Atakan Özyurt, Bilal Hanc?, Fatih Yasin",2.4,5,Türkiye
Orman Vatand?r - Çanakkale Ruhu,,Belgesel,"Mehmet Balaban, Mehmet Ali Sevimli",03/18/2022,82481,1271946,Erka Medya,"Murat Tavl?, Ferit K?l?ç, Harun Kocatürk",6.2,7,Türkiye
Masal ?atosu: Gizemli Misafir,,"Aile, Fantastik",Burak Kuka,08/12/2022,78830,3251292,"RETROPRO, NETD, DMC, WOVIE","Ecrin Su Çoban, Gülse Göçer, Ozan Varol",6.1,13,Türkiye
Siyah Telefon,The Black Phone,Korku,Scott Derrickson,06/24/2022,76110,3056525,"Jason Blum, Scott Derrickson","Ethan Hawke, Mason Thames, Madeleine McGraw",6.9,10,ABD
Hopper ve Ç?lg?n Çetesi: Büyük Macera,"Hopper et le hamster des ténèbres, Chickenhare and the Hamster of Darkness","Macera, Komedi, Animasyon","Ben Stassen, Benjamin Mousquet",05/27/2022,74516,2456284,"Ben Stassen, Caroline Van Iseghem, Matthieu Zeller","Thomas Solivérès, Chloé Jouannet, Nicolas Maury",6.3,21,"Belçika, Fransa"
Sil Ba?tan Kaynanam,,Komedi,Ra?it Çelikezer,12/09/2022,77505,2990897,Greenart Group,"Alper Sald?ran, Alg? Eke, Zeynep Eronat",3.2,10,Türkiye
Cesur ?tfaiyeci,Fireheart,"Macera, Komedi, Animasyon","Theodore Ty, Laurent Zeitoun",04/22/2022,68826,2219314," Laurent Zeitoun, Yann Zenou, Valérie d'Auteuil","Alice Pol, Vincent Cassel, Valérie Lemercier",6.2,17,"Fransa, Kanada"
Zir-i Cin,,"Korku, Gerilim",Emre Pala,07/01/2022,68201,2516281,HM Productions,"Defne Çoban, Ogan ?enyolcu, Mohamad Ahmad",4.5,6,Türkiye
Ejderham ve Ben,Dragon Rider,"Macera, Animasyon, Aile, 3 Boyutlu",Tomer Eshed,05/13/2022,68200,2251883,"Oliver Berben, Christoph Müller, Martin Moszkowicz","Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore",5.7,11,Almanya
Jujutsu Kaisen 0: The Movie,,"Animasyon, Fantastik, Aksiyon",Seong-Hu Park,05/13/2022,65710,2479597,"Gege Akutami, Chinatsu Akasaki, Toshihiro Maeda","Megumi Ogata, Kana Hanazawa, Mikako Komatsu",7.8,6,Japonya
Efsane Tak?m: Bilim Kahramanlar?,,Animasyon,Suat Emuce,10/07/2022,63788,2214635,Dukka Medya,"Aydo?an Temel, Ercan Demirel, Fatih Özkul",7.2,14,Türkiye
Tamirhane,,Komedi,Erkan Kolçak Köstendil,11/11/2022,60158,3442775,Sky Films,"Nejat ??ler, R?za Kocao?lu, Merve Dizdar",5.7,6,Türkiye
Ne?eli Kanatlar: Büyük Göç,Duck Duck Goose,Animasyon,Christopher Jenkins,03/18/2022,59831,1590933,"Sandra Rabins, Penney Finkelman Cox, Harley Zhao","Jim Gaffigan, Zendaya, Lance Lim",5.7,20,"ABD, Birle?ik Krall?k, Çin"
Olmad? Kaçar?z,,Komedi,Erkan Nurhan,02/18/2022,58359,1389323,Medyac?zade,"Aykut Elmas, Halil ?brahim Göker, Ezgi Gizem",6.6,2,Türkiye
Elvis,,"Dram, Biyografi, Müzik",Baz Luhrmann,06/24/2022,58252,2914834,"Baz Luhrmann, Catherine Martin, Gail Berman","Austin Butler, Tom Hanks, Olivia DeJonge",7.3,15,ABD
Asi Prenses,"Pil, Pil's Adventures","Macera, Animasyon, Fantastik",Julien Fournet,06/17/2022,56978,2125214,"Jean-François Tosti, David Alaux, Éric Tosti","Kaycie Chase, Paul Borne, Julien Crampon",6.1,16,Fransa
The King's Man: Ba?lang?ç,The King's Man,"Macera, Komedi, Aksiyon",Matthew Vaughn,01/07/2022,56639,1672259," Matthew Vaughn, David Reid, Adam Bohlin","Ralph Fiennes, Harris Dickinson, Djimon Hounsou",6.3,5,"ABD, Birle?ik Krall?k"
Kay?p ?ehir,The Lost City,"Romantik-Komedi, Aksiyon","Aaron Nee, Adam Nee",03/25/2022,56334,1896687,"Sandra Bullock, Seth Gordon, Liza Chasin","Sandra Bullock, Channing Tatum, Daniel Radcliffe",6.1,4,ABD
Ay? Karde?ler: Macera Park?,"Xiong Chu Mo: Kuang Ye Da Lu, Boonie Bears: The Wild Life",Animasyon,Leon Ding,01/28/2022,56195,1343956,Leon Ding,"Chris Boike, Joseph S. Lambert, Siobhan Lumsden",4.5,23,Çin
Mahalleden Arkada?lar,,Komedi,Selçuk Aydemir,11/04/2022,54731,2839118,TR 40 33 Productions,"Nurgül Ye?ilçay, Alper Kul, Murat Akkoyunlu",3.2,9,Türkiye
Cennete Bilet,Ticket to Paradise,Romantik-Komedi,Ol Parker,09/16/2022,53835,3418789," Deborah Balderstone, Tim Bevan, Sarah Harvey","Julia Roberts, George Clooney, Kaitlyn Dever",6.2,10,ABD
The Menu,,"Korku, Komedi",Mark Mylod,11/18/2022,54536,4333286,"Adam McKay, Will Ferrell, Betsy Koch","Anya Taylor-Joy, Ralph Fiennes, Nicholas Hoult",7.2,9,ABD
