Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Ben O De?ilim,,Dram,Tayfun Pirselimo?lu,09/26/2014,3682,41734,Zuzi Film,"Ercan Kesal, Maryam Zaree, R?za Ak?n",6.5,6,Türkiye
Ayin,The Sacrament,Korku,Ti West,07/11/2014,3654,34638,"Molly Conners , Jacob Jaffke , Eli Roth","Joe Swanberg, AJ Bowen, Kentucker Audley",6.1,3,ABD
Sesime Gel,,Dram,Hüseyin Karabey,12/05/2014,4224,35813,Asi Film,"Feride Gezer, Melek Ülger, Tuncay Akdemir",6.8,6,"Türkiye, Almanya, Fransa"
Paris'te Bir Hafta Sonu,Le Week-End,"Komedi, Dram",Roger Michell,06/06/2014,3519,42592,"Kevin Loader , Rosa Romero","Jim Broadbent, Lindsay Duncan, Jeff Goldblum",6.4,8,"Birle?ik Krall?k, Fransa"
Gizli Yüzler,,Gerilim,Sümeya Kökten,11/14/2014,3427,32648,Concept Plato,"Gülseven Y?lmaz, Ye?im Ceren Bozo?lu, O?uz Galeli",4.7,7,Türkiye
Seninle Ya??yorum,How I Live Now,"A?k, Dram",Kevin Macdonald,05/16/2014,3223,34260,"John Battsek , Alasdair Flind , Andrew Ruhemann","Saoirse Ronan, Tom Holland, George MacKay",6.4,4,Birle?ik Krall?k
Ömer,Omar,Dram,Hany Abu-Assad,03/07/2014,3133,23781,"Hany Abu-Assad , David Gerson , Waleed Zuaiter","Adam Bakri, Waleed Zuaiter, Leem Lubany",7.5,8,Filistin
Meydan,"Al Midan, The Square","Dram, Belgesel",Jehane Noujaim,02/28/2014,3131,30884,Karim Amer,"Khalid Abdalla, Ahmed Hassan, Magdy Ashour",8,5,"ABD, M?s?r"
Dünyada 20.000 Gün,20.000 Days On Earth,"Dram, Belgesel, Müzik","Iain Forsyth, Jane Pollard",09/19/2014,4653,44053,"James Wilson , Dan Bowen","Nick Cave, Susie Bick, Warren Ellis",7.4,9,Birle?ik Krall?k
Tersine,,Komedi,Ahmet Faik Ak?nc?,09/19/2014,3042,25518,Bat? Yap?m,"Nazl? Gamze Demirel, ?enol ?pek, Senem Hakk? Karabulut",1.9,2,Türkiye
Binlerce Kez ?yi Geceler,,Dram,Erik Poppe,03/28/2014,3001,36480,"Stein B. Kvae, Finn Gjerdrum","Juliette Binoche, Nikolaj Coster-Waldau, Lauryn Canny",7,3,"?rlanda, ?sveç, Norveç"
Attila Marcel,,Komedi,Sylvain Chomet,08/01/2014,3560,40516,Chris Bolzli,"Guillaume Gouix, Anne Le Ny, Bernadette Lafont",7,10,Fransa
Tamaya ?frit,,"Gerilim, Aksiyon",Serkant Ya?ar Kutlubay,06/06/2014,2821,22320,Kutlubay Film,"La Milla, Nicole Guntzman, Aydan Çak?r",1.9,4,Türkiye
"Ben, Kendim ve Annem","Les Garçons et Guillaume, à Table!, My, Myself and Mom",Komedi,Guillaume Gallienne,08/15/2014,2831,34109,"Cyril Colbeau-Justin , Jean-Baptiste Dupont , Edouard Weil","Diane Kruger, Reda Kateb, Nicolas Wanczycki",6.6,10,"Belçika, Fransa"
K?r?k Çember,The Broken Circle Breakdown,Dram,Felix van Groeningen,01/24/2014,2741,26608,Dirk Impens,"Johan Heldenbergh, Veerle Baetens, Nell Cattrysse",7.7,10,Belçika
Körlük,Blind,Dram,Eskil Vogt,09/05/2014,3029,30535,"Hans-Jorgen Osnes, Sigve Endresen","Ellen Dorrit Petersen, Henrik Rafaelsen, Vera Vitali",6.8,7,Norveç
Hay Way Zaman,,Belgesel,Nezahat Gündo?an,10/17/2014,2658,24151,Miraz Yap?m,"Emo? Gülver, Kamer Kaçar, Hüseyin Turan",0,5,Türkiye
Karde?im ?çin,Out of the Furnace,Gerilim,Scott Cooper,06/06/2014,2464,29066,"Leonardo DiCaprio , Ridley Scott , Tony Scott","Christian Bale, Woody Harrelson, Zoe Saldana",6.7,4,"ABD, Birle?ik Krall?k"
"Alexander ve Felaket, Korkunç, Berbat, Çok Kötü Bir Gün","Alexander and the Terrible, Horrible, No Good, Very Bad Day",Aile,Miguel Arteta,11/07/2014,2451,31759,"Lisa Henson , Dani Levine , Shawn Levy","Steve Carell, Jennifer Garner, Donald Glover",6.2,2,ABD
Tutturamayanlar,,Komedi,Emir Orhan K?l?ç,06/13/2014,2274,20083,Sinetik,"Devrim Do?u? Akba?, Ali Onat Tamergil, Göktu? Engel",4.2,4,Türkiye
Daire,,Dram,At?l ?naç,02/07/2014,2241,18911,Lacivert Film,"Fatih Al, Nazan Kesal, Leyla Selen Uçer",6.1,7,Türkiye
Topra?a Uzanan Eller,,Dram,Ömer Can,08/01/2014,2141,24400,ÖmerCAN Prodüksiyon,"Ali Bilen, Zeliha Bilen, Melih Selçuk",5.8,2,Türkiye
Görünmeyen Kad?n,The Invisible Woman,"A?k, Dram, Biyografi",Ralph Fiennes,05/09/2014,2064,30245," Carolyn Marks Blackwood , Christian Baute , Gabrielle Tana","Kristin Scott Thomas, Ralph Fiennes, Tom Hollander",6.1,3,Birle?ik Krall?k
A?k ve Tutku,Miss Julie,Dram,Liv Ullmann,11/28/2014,2058,31100,"Rita Dagher , Oliver Dungey , Aaron L. Gilbert","Jessica Chastain, Colin Farrell, Samantha Morton",5.5,3,"Birle?ik Krall?k, Norveç"
Tom Çiftlikte,"Tom à La Ferme, Tom at the Farm","Gerilim, Dram",Xavier Dolan,06/20/2014,2232,23651,"Xavier Dolan , Charles Gillibert , Nathanaël Karmitz","Xavier Dolan, Pierre-Yves Cardinal, Lise Roy",6.9,9,"Fransa, Kanada"
Dü? ve Gerçek,Jimmy P.,Dram,Arnaud Desplechin,05/02/2014,2488,28453,"Pascal Caucheteux , Jennifer Roth","Benicio Del Toro, Mathieu Amalric, Michelle Thrush",6.1,7,"ABD, Fransa"
Gece Plan?,Night Moves,Gerilim,Kelly Reichardt,07/04/2014,2017,25796,"Brett Cranford , Alejandro De Leon , Larry Fessenden","Peter Sarsgaard, Jesse Eisenberg, Dakota Fanning",6,6,ABD
Pislik,Filth,"Komedi, Suç",Jon S. Baird,06/27/2014,2002,23549,"Irvine Welsh , Ken Marshall , Will Clarke","Imogen Poots, James McAvoy, Shauna Macdonald",7,6,Birle?ik Krall?k
?ki Gün ve Bir Gece,"Deux jours, Une Nuit, Two Days One Night",Dram,"Jean-Pierre Dardenne, Luc Dardenne",12/26/2014,4513,53645,"Luc Dardenne , Jean-Pierre Dardenne","Marion Cotillard, Fabrizio Rongione, Catherine Salée",7.3,10,"Belçika, Fransa, ?talya"
Özgürlük Dans?,Jimmy's Hall,"Dram, Tarihi",Ken Loach,12/12/2014,3621,33448,Rebecca O'Brien,"Barry Ward, Simone Kirby, Andrew Scott",6.7,8,"Birle?ik Krall?k, Fransa, ?rlanda"
Kumun Tad?,,Dram,Melisa Önel,11/21/2014,3620,21370,Bulut Film,"Hakan Karsak, Leyla Selen Uçer, Timuçin Esen",4.6,8,Türkiye
Yasak A?k,"Adore, Two Mothers","A?k, Dram",Anne Fontaine,02/21/2014,1808,20812,"Philippe Carcassonne , Michel Feller , Barbara Gibbs","Naomi Watts, Robin Wright, Xavier Samuel",6.2,4,"Avustralya, Fransa"
Öteki,The Double,"Gerilim, Dram",Richard Ayoade,06/20/2014,1757,27771,"Amina Dasmal , Andy Stebbing","Jesse Eisenberg, Mia Wasikowska, Paddy Considine",6.5,4,Birle?ik Krall?k
?eflerin Sava??,"Comme Un Chef, The Chef",Komedi,Daniel Cohen,11/21/2014,1791,24570,"Adolfo Blanco , Jeremy Burdek","Michaël Youn, Jean Reno, Raphaëlle Agogué",6.6,5,"Fransa, ?spanya"
?öhret Tepesi,The Canyons,"Gerilim, Dram",Paul Schrader,01/24/2014,1721,19195,Braxton Pope,"Lindsay Lohan, James Deen, Nolan Gerard Funk",3.8,6,ABD
Uzak Ç??l?k,Far Cry,"Bilim-Kurgu, Aksiyon",Uwe Boll,01/24/2014,1606,13380,"Uwe Boll , Shawn Williamson , Cevat Yerli ","Til Schweiger, Emmanuelle Vaugier, Natalia Avelon",3.2,4,"Almanya, Kanada"
Frank,,"Komedi, Dram",Lenny Abrahamson,05/16/2014,2108,19735,"David Barron , Ed Guiney , Andrew Lowe","Maggie Gyllenhaal, Michael Fassbender, Scoot McNairy",6.9,6,"Birle?ik Krall?k, ?rlanda"
Mavi Ring,,Dram,Ömer Levento?lu,03/21/2014,1582,15820,"Fer Film, Mitos Film","Ezgi Çelik, Nazmi K?r?k, Kemal Ulusoy",5.6,5,Türkiye
Bela,Borgman,Gerilim,Alex Van Warmerdam,07/11/2014,1654,15441,Koen Mortier,"Jan Bijvoet, Hadewych Minis, Jeroen Perceval",6.7,5,"Belçika, Hollanda"
Çocuk Pozu,"Pozitia Copilului, Child Pose",Dram,C?lin Peter Netzer,01/10/2014,1554,18255,"Ada Solomon , C?lin Peter Netzer","Luminita Gheorghiu, Bogdan Dumitrache, Ilinca Goia",7.4,4,Romanya
Kapital,"Le Capital, Capital",Dram,Costa-Gavras,02/28/2014,3355,26851,Michèle Ray-Gavras,"Céline Sallette, Nicolas Wanczycki, Gabriel Byrne",6.5,11,Fransa
Hafta Sonu,Weekend,"A?k, Dram",Andrew Haigh,08/08/2014,1365,17158,"Tristan Goligher , Claire Mundell , Rachel Dargavel","Tom Cullen, Chris New, Jonathan Race",7.6,4,Birle?ik Krall?k
Adalet ?çin,Michael Kohlhaas,"Dram, Tarihi",Arnaud des Pallières,03/28/2014,1381,15900,Serge Lalou,"Mads Mikkelsen, Mélusine Mayance, Delphine Chuillot",6.1,6,"Almanya, Fransa"
?nsanlar? Seyreden Güvercin,A Pigeon Sat on a Branch Reflecting on Existence,"Komedi, Dram",Roy Andersson,12/26/2014,5319,50272,Pernilla Sandström,"Holger Andersson, Nils Westblom, Charlotta Larsson",6.9,15,"Almanya, Fransa, ?sveç, Norveç"
New York'a Ho?geldiniz,Welcome to New York,Dram,Abel Ferrara,10/31/2014,1303,16465,"Ged Dickersin , Adam Folk","Gérard Depardieu, Jacqueline Bisset, Drena De Niro",5.6,6,ABD
Betondaki Çatlaklar,Risse im Beton,Dram,Umut Da?,08/22/2014,1564,11905,"Michael Katz , Veit Heiduschka","Murathan Muslu, Alechan Tagaev, Ivan Kriznjak",6.7,7,Avusturya
Yüksek Risk,Starred Up,Dram,David Mackenzie,06/06/2014,1229,14031,"Gillian Berrie , Brian Coffey , Alexander O'Neal","Jack O'Connell, Ben Mendelsohn, Sam Spruell",7.3,7,Birle?ik Krall?k
Çocuk Büyütme Rehberi,"No se Aceptan Devoluciones, Instructions Not Included","Komedi, Dram",Eugenio Derbez,04/04/2014,1215,18536,"Álvaro Curiel , Francisco González Compeán , Mónica Lozano","Eugenio Derbez, Karla Souza, Jessica Lindsey",7.5,1,Meksika
Safari Maceras?,African Safari,"Belgesel, 3 Boyutlu",Ben Stassen,12/12/2014,4554,31357,Nadia Khamlichi,Kevin Richardso,6.1,17,"Belçika, Fransa"
Vecide,Wadjda,Dram,Haifaa Al-Mansour,07/25/2014,1845,17230,Gerhard Meixner,"Waad Mohammed, Reem Abdullah, Abdullrahman Al Gohani",7.5,5,"Almanya, Suudi Arabistan"
"?nce Buz, Kara Kömür","Bai Ri Yan Huo, Black Coal Thin Ice","Gerilim, Suç",Diao Yinan,07/11/2014,1146,11485,"Vivian Qu, Wan Juan, Shen Yang","Liao Fan, Gwei Lun Mei, Xue-bing Wang",6.7,5,Çin
Arabani,,Dram,Adi Adwan,09/12/2014,1114,6876,Itai Tamir,"Eyad Sheety, Daniella Niddam, Tom Kelrich",6.3,8,?srail
Kim Takar!,"N'importe qui, WTF",Komedi,Raphaël Frydman,09/12/2014,1052,12596,"Pascal Caucheteux, Sebastien Lemercier, Jean-François Richet","Rémi Gaillard, Nicole Ferroni, Alban Ivanov",4.9,3,Fransa
Temmuz So?u?u,Cold in July,"Gerilim, Suç",Jim Mickle,09/26/2014,1007,12568,"Adam Folk , Joe R. Lansdale","Michael C. Hall, Don Johnson, Sam Shepard",6.7,4,"ABD, Fransa"
Karda Bir Beyaz Ku?,White Bird in a Blizzard,Dram,Gregg Araki,12/19/2014,1643,18223,"Gregg Araki , Pascal Caucheteux , Pavlina Hatoupis","Eva Green, Shailene Woodley, Angela Bassett",6.4,6,"ABD, Fransa"
Göl Zaman?,,Dram,Cafer Özgül,06/27/2014,915,8222,Focus Film,"Hakan Sal?nm??, Didem Balç?n, Begüm Birgören",5.7,6,Türkiye
Zay?fl???n Esareti,"Abus de Faiblesse, Abuse of Weakness",Dram,Catherine Breillat,05/23/2014,902,10334,"Jean-François Lepetit, Nicolas Steil, Jesus Gonzalez-Elvira","Isabelle Huppert, Kool Shen, Laurence Ursino",5.9,4,"Almanya, Belçika, Fransa"
Dursun Çavu?,,Komedi,Ali Engin,03/14/2014,838,7757,Evrensel Medya,"Sinan Bengier, Burçin Abdullah, Bülent Polat",4.3,1,Türkiye
Sevgilinin Ard?ndan,Lilting,Dram,Hong Khaou,06/27/2014,733,8642,Dominic Buchanan,"Ben Whishaw, Pei-Pei Cheng, Naomi Christie",7.1,5,Birle?ik Krall?k
Bir Don Juan Öldürmek,,Dram,Sabahattin Sakman,07/18/2014,721,7215,Cine Park,"Süleyman Atan?sev, Teoman Kumbarac?ba??, Pervin Ba?dat",4.7,6,Türkiye
FerahFeza,,Dram,Elif Refi?,01/10/2014,703,8203,Muhtelif Yap?mlar,"U?ur Uzunel, Mert Asutay, Engin Hepileri",4.7,4,Türkiye
Nikahta Keramet var m??,Peace After Marriage,"Komedi, A?k","Bandar Albuliwi, Ghazi Albuliwi",12/26/2014,1068,13588,Deema Amr,"Ghazi Albuliwi, Hiam Abbass, Omer Barnea",6.5,3,"ABD, ?srail, Ürdün"
Bire Bir,"Il-dae-il, One on One",Dram,Kim Ki-Duk,12/12/2014,727,7929,Kim Son-Mo,"Ma Dong-seok, Young-Min Kim, Yi-Kyeong Lee",5.7,5,Güney Kore
Nergis Han?m,,Dram,Görkem ?arkan,10/24/2014,1590,12256,AC Film,"Settar Tanr?ö?en, Zerrin Sümer, Begüm Akkaya",6.2,4,Türkiye
Uzun Yol,,Dram,Nihat Seven,12/05/2014,611,6398,"Blind Pictures, Comedia Film","Hakan Yufkac?gil, Bora Cengiz, Nil Günal Çak?ro?lu",5.7,2,Türkiye
Son ?ans,The Congress,"Bilim-Kurgu, Animasyon, Dram",Ari Folman,05/30/2014,620,7399,"Jeremiah Samuels , David Grumbach , Eitan Mansuri","Harvey Keitel, Danny Huston, Kodi Smit-McPhee",6.4,5,"Almanya, Belçika, Fransa, ?srail, Lüksemburg, Polonya"
Mutlak Adalet,,"Gerilim, Dram",Hüseyin Eleman,04/25/2014,585,5011,Katarsis Film,"Ozan Akbaba, Bülent Çolak, Bihter Dinçel",5.9,4,Türkiye
Asfalt Çiçekleri,,Dram,Kamil Koç,11/21/2014,557,2364,Roll Caption,"Hilmi Korkmaz, Sema ?ahingöz, Sinem ?slamo?lu",5.4,2,Türkiye
Böcek,,"Komedi, Fantastik",Bora Tekay,09/19/2014,553,5841,Konsey Film,"Gözde Okur, Onur Buldu, Cem Aksakal",6,4,Türkiye
Dönü?,The Turning,Dram,Justin Kurzel,11/14/2014,450,5174,"Robert Connolly , Philippa Campey , Julie Eckersley","Rose Byrne, Cate Blanchett, Hugo Weaving",5.8,3,Avustralya
Meddah,,Dram,Batur Emin Akyel,03/28/2014,309,3169,?klim Film,"Münir Canar, Tu?çe Kumral, Evren Bingöl",6.1,1,Türkiye
Biz Babas?z Büyüdük,,Dram,Ahmet Çad?rc?,09/26/2014,248,1098,Akdeniz Sanat Filmcilik,"U?ur Can Tekin, Buse Merve Ero?lu, Mustafa Eker",5.3,3,Türkiye
A?k-? Suzan,,Dram,Murat Tüter,12/26/2014,225,924,Avangard Film,"Emre Kentmeno?lu, Do?aç Y?ld?z, Gülin Sezen Aray",2.9,1,Türkiye
Gittiler: Sair ve Meçhul,,Dram,Kenan Korkmaz,12/19/2014,209,951,Mor Prodüksiyon,"Sava? Özdemir, Yuhannun Akay, Ruhi Sar?",4.8,1,Türkiye
Unutma Beni ?stanbul,,Dram,"Hany Abu-Assad, Stefan Arsenijevic, Aida Begic",11/07/2014,153,558,Asi Film,"Volga Sorgu, Serkan Keskin, Özgürcan Çevik",6.3,2,Türkiye
Ka??ttan Kay?klar,,Dram,Murat Yayk?n,10/24/2014,111,510,Persona Film,"Medya Örmek, Kemal Ulusoy, Berfin Emektar",6.6,2,Türkiye
Müslüm Baba'n?n Evlatlar?,,Belgesel,Vuslat Saraço?lu,05/09/2014,105,772,Osman Özcan,"Ahmet Tiryaki, Arzu Yapa, Burhan De?eralp",6.5,2,Türkiye
Toz Ruhu,,Dram,Nesimi Yetik,12/30/2014,3817,28400,Özminimalist Film,"Settar Tanr?ö?en, Aytaç Arman, Tansu Biçer",5.9,6,Türkiye
Albatrosun Yolculu?u,,Dram,Cengis T. Asiltürk,10/17/2014,57,288,Adg Film,"Ercan Kesal, Nazan Kesal, Ufuk Kaplan",6.1,1,Türkiye
Mavi Adam,,Dram,Utku Çelik,05/23/2014,56,548,Çelik Film," Alexander Dawe, Ayd?n Orak, Derya Aslan",8,2,Türkiye
Sivil,,Dram,Levent Çetin,12/05/2014,37,201,Plot Film,"Umut Sakall?o?lu, Meltem Savc?, Gökay Müftüo?lu",5.8,2,Türkiye
Rüzgarla Bir,,Dram,Dilek Çolak,12/19/2014,12,72,Salyangoz Film,"Evren Duyal, Sermet Ye?il, Aytaç Öztuna",0,1,Türkiye
Uzay Kuvvetleri 2911,,"Animasyon, 3 Boyutlu",Michael ?ahin Derun,05/16/2014,1026,6110,Animaj,"Gamze Demir, Çetin Yeltekin, R?za Gülmez",2.3,5,Türkiye
Dü?ün Dernek,,Komedi,Selçuk Aydemir,12/06/2013,6980070,68917965,BKM,"Ahmet Kural, Murat Cemcir, Rasim Öztekin",7,40,Türkiye
Celal ile Ceren,,Romantik-Komedi,Togan Gökbakar,01/18/2013,2853772,26601627,Çama??rhane Film,"Dil?ah Demir, Gökçen Gökçeba?, ?ahan Gökbakar",3.1,23,Türkiye
Kelebe?in Rüyas?,,Dram,Y?lmaz Erdo?an,02/22/2013,2167456,20898864,BKM,"Belçim Bilgin, Mert F?rat, K?vanç Tatl?tu?",7.7,33,Türkiye
Selam,,Dram,Levent Demirkale,03/29/2013,2145545,14910817,Neyir Film,Burçin Abdullah,6.2,26,Türkiye
Hükümet Kad?n 2,,Komedi,Sermiyan Midyat,11/08/2013,1530071,14536066,BKM,"Demet Akba?, Ercan Kesal, Bülent Çolak",6.1,18,Türkiye
Romantik Komedi 2: Bekarl??a Veda,,Romantik-Komedi,Erol özlevi,02/14/2013,1507603,14623156,Boyut Film,"Özge Ulusoy, Sedef Avc?",5.1,18,Türkiye
Hükümet Kad?n,,Komedi,Sermiyan Midyat,02/01/2013,1401665,12999529,BKM,"Demet Akba?, Cezmi Bask?n, Ercan Kesal",6.5,34,Türkiye
Benim Dünyam,,Dram,U?ur Yücel,10/25/2013,1382471,13868774,TMC Film,"U?ur Yücel, Beren Saat, Hazar Ergüçlü",7.5,15,Türkiye
H?zl? ve Öfkeli 6,Fast & Furious 6,"Macera, Aksiyon",Justin Lin,05/24/2013,1180105,11225845," Neal H. Moritz, Vin Diesel, Clayton Townsend","Vin Diesel, Paul Walker, Dwayne Johnson",7,15,ABD
Su ve Ate?,,"A?k, Dram",Özcan Deniz,11/15/2013,1215086,11467223,"Av?ar Film, DNZ Film","Özcan Deniz, Sera Tokdemir, Tamer Levent",6,13,Türkiye
?irinler 2,The Smurfs 2,"Komedi, Aile, 3 Boyutlu", Raja Gosnell,08/01/2013,1120016,11528616, Jordan Kerner,"Brendan Gleeson, Neil Patrick Harris, Jayma Mays",5.3,32,ABD
Hobbit: Smaug'un Çorak Topraklar?,The Hobbit: The Desolation of Smaug,"Macera, Fantastik, 3 Boyutlu",Peter Jackson,12/13/2013,1210949,14572407,"Carolynne Cunningham, Zane Weiner, Fran Walsh","Martin Freeman, Lawrence Makoare, Evangeline Lilly",7.8,15,"ABD, Yeni Zelanda"
Açl?k Oyunlar? 2: Ate?i Yakalamak,The Hunger Games: Catching Fire,"Macera, Aksiyon",Francis Lawrence,11/22/2013,864780,9214037,"Nina Jacobson , Jon Kilick , Suzanne Collins ","Philip Seymour Hoffman, Jennifer Lawrence, Liam Hemsworth",7.5,8,ABD
Dünya Sava?? Z,World War Z,"Korku, Aksiyon, 3 Boyutlu",Marc Forster,06/21/2013,757886,8379741,"Brad Pitt, Dede Gardner, Jeremy Kleiner","Brad Pitt, Michiel Huisman, David Morse",7,17,ABD
Iron Man 3,,"Macera, Fantastik, Aksiyon, 3 Boyutlu",Shane Black,05/03/2013,716817,8208682,"Stan Lee , Kevin Feige , Victoria Alonso","Robert Downey Jr., Gwyneth Paltrow, Ben Kingsley",7.1,19,ABD
Ç?lg?n H?rs?z 2,Despicable Me 2,"Animasyon, 3 Boyutlu","Pierre Coffin, Chris Renaud",10/04/2013,697180,8252085," Chris Meledandri, Janet Healy","Steve Carell, Kristen Wiig, Trey Parker",7.3,29,ABD
Çanakkale: Yolun Sonu,,"Tarihi, Sava?",Kemal Uzun,03/15/2013,670925,5372309,"Fono Film, TT Film","Umut Kurt, Gürkan Uygun, Mahir Gün?iray",7.1,25,Türkiye
Thor: Karanl?k Dünya,Thor: The Dark World,"Macera, Aksiyon, 3 Boyutlu",Alan Taylor,11/01/2013,615195,7528083, Kevin Feige,"Chris Hemsworth, Natalie Portman, Tom Hiddleston",6.8,7,ABD
Tamam m?y?z?,,Dram,Ça?an Irmak,11/29/2013,500835,4976745,TAFF,"Asl? Enver, Gürkan Uygun, U?ur Güne?",7,10,Türkiye
Wolverine,The Wolverine,"Fantastik, Aksiyon, 3 Boyutlu",James Mangold,07/26/2013,456897,5121513," Lauren Shuler Donner, Hugh Jackman, Hutch Parker [1]","Hugh Jackman, Ian McKellen, Hiroyuki Sanada",6.7,21,ABD
Efsane Be?li,Rise of the Guardians,"Animasyon, 3 Boyutlu",Peter Ramsey,01/11/2013,432260,4853465, DreamWorks Animation," Chris Pine, Alec Baldwin, Jude Law",7.2,23,ABD
Dabbe 4: Cin Çarpmas?,,"Korku, Gerilim",Hasan Karacada?,08/12/2013,422747,3751364,"J Plan, TAFF",Elçin Atamgüç,6.8,15,Türkiye
The Hangover 3: Felekten Bir Gece,The Hangover Part III,Komedi,Todd Phillips,05/31/2013,421424,4377506," Todd Phillips, Daniel Goldberg","Heather Graham, Bradley Cooper, Ed Helms",5.8,12,ABD
el-C?N,,"Korku, Gerilim",Hasan Karacada?,04/05/2013,421052,3646064,J Plan,Fulya Zenginer,4.9,17,Türkiye
G.D.O. KaraKedi,,"Macera, Komedi",Murat Aslan,01/25/2013,403000,3874224,Setra Filmcilik,"?afak Sezer, Volkan Ba?aran, Durul Bazan",5.3,13,Türkiye
Behzat Ç. Ankara Yan?yor,,Macera,Serdar Akar,11/01/2013,404100,4277647,"Adam Film, Fida Film","Erdal Be?ikçio?lu, Tu?rul Tülek, Sadi Celil Cengiz",7.4,12,Türkiye
Uçaklar,Planes,"Animasyon, 3 Boyutlu",Klay Hall,08/23/2013,398721,4385985," Traci Balthazor , John Lasseter","Dane Cook, Priyanka Chopra Jonas, Julia Louis-Dreyfus",5.7,18,ABD
Yerçekimi,Gravity,"Gerilim, Bilim-Kurgu, 3 Boyutlu",Alfonso Cuaron,10/11/2013,395872,5544661," Alfonso Cuarón, David Heyman","Sandra Bullock, George Clooney",7.7,8,ABD
Oblivion,,"Bilim-Kurgu, Aksiyon",Joseph Kosinski,04/12/2013,390380,4190915," 
Joseph Kosinski, Peter Chernin Dylan Clark","Tom Cruise, Olga Kurylenko, Melissa Leo",7,16,ABD
Sevimli Canavarlar Üniversitesi,Monsters University,"Animasyon, 3 Boyutlu", Dan Scanlon,06/21/2013,361053,3647164, Kori Rae,"Billy Crystal, John Goodman, Steve Buscemi",7.2,17,ABD
Mutlu Aile Defteri,,"Komedi, Dram", Nihat Durak,02/08/2013,348664,3332313,Tim's,"?lker Aksum, Bü?ra Pekin, Tuncel Kurtiz",6,28,Türkiye
Riddick,,"Bilim-Kurgu, Fantastik",David Twohy,10/04/2013,333317,3502254,"Vin Diesel , Mike Drake , Samantha Vincent","Vin Diesel, Matt Nable, Dave Bautista",6.4,21,ABD
Man of Steel,,"Macera, Aksiyon, 3 Boyutlu",Zack Snyder,06/14/2013,314007,3657857," Christopher Nolan, Charles Roven, Emma Thomas","Henry Cavill, Amy Adams, Michael Shannon",7.1,14,"ABD, Kanada"
Maskeli Süvari,The Lone Ranger,"Macera, Western, Aksiyon",Gore Verbinski,07/05/2013,307069,3051915,"Jerry Bruckheimer, Gore Verbinski","Johnny Depp, William Fichtner, Armie Hammer",6.4,14,ABD
A?k K?rm?z?,,"A?k, Dram",Osman S?nav,03/15/2013,304490,2979909,SineGraf,"Nurgül Ye?ilçay, Tayanç Ayayd?n, Sait Genay",5.1,16,Türkiye
Sabit Kanca,,Komedi,Alper Mestçi,03/22/2013,294264,2653184,Muhte?em Film,Orhan Ayd?n (I),3.1,10,Türkiye
Elysium: Yeni Cennet,Elysium,"Bilim-Kurgu, Aksiyon",Neill Blomkamp,08/09/2013,293355,3368262,"Sue Baden-Powell , Bill Block ","Matt Damon, Jodie Foster, William Fichtner",6.6,14,ABD
Hansel ve Gretel: Cad? Avc?lar?,Hansel and Gretel: Witch Hunters,"Komedi, Aksiyon, 3 Boyutlu",Tommy Wirkola,02/01/2013,285957,3387081,"Will Ferrell , Beau Flynn","Famke Janssen, Gemma Arterton, Jeremy Renner",6.1,11,ABD
G.I. Joe: Misilleme,G.I. Joe: Retaliation,"Aksiyon, 3 Boyutlu",Jon M. Chu,03/29/2013,280927,3132722,"Lorenzo Di Bonaventura , Brian Goldner","Bruce Willis, Dwayne Johnson, Channing Tatum",5.7,17,"ABD, Kanada"
Crood'lar,The Croods,"Animasyon, 3 Boyutlu","Kirk De Micco , Chris Sanders",04/12/2013,256800,2656578,"Kristine Belson , Jane Hartwell","Nicolas Cage, Ryan Reynolds, Asl? Tando?an",7.2,34,ABD
?eytan-? Racim,,"Korku, Gerilim",Ark?n Aktaç,09/13/2013,242215,2144929,"Tiglon, Dada Film",U?ur Güne?,3.9,15,Türkiye
Bu ??te Bir Yaln?zl?k Var,,"A?k, Dram",Ketche,12/13/2013,252560,2498523,Fida Film,"Özgü Namal, Engin Altan Düzyatan, Wilma Elles",5.7,20,Türkiye
Zor Ölüm: Ölmek ?çin Güzel Bir Gün,A Good Day to Die Hard,"Macera, Gerilim, Aksiyon",John Moore,02/15/2013,226525,2384784,"Stephen J. Eads , Tom Karnowski","Bruce Willis, Jai Courtney, Sebastian Koch",5.2,23,ABD
Kahraman Maymun,Marco Macaco,Animasyon,Jan Rahbek,01/25/2013,222289,1996514,Thomas Borch Nielsen,"Mille Lehfeldt, Toke Lars Bjarke, Rune Tolsgaard",3.8,27,Danimarka
Max Maceralar?: Dinoterra,Max 3,"Animasyon, 3 Boyutlu",Jerry Ching,05/03/2013,202835,2044210,Tiglon Film," Yekta Kopan, Hülya Av?ar, Kenan Do?ulu",4.8,24,Tayland
Vay Ba??ma Gelenler,,Komedi,Semra Dündar,10/04/2013,201220,1897479,Kült Film,"Hüsnü ?enlendirici, Metin Keçeci, Merve Alt?nkaya",3.4,8,Türkiye
