Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Hasılat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Zıpır Dedektif ve Altın Arı Kovanı,"Chink: Khostatiy detektiv, Detective Chirp and the Golden Beehive","Macera, Animasyon, Aile",Grigoriy Vozhakin,7/21/2023,"7,055","624,418","Yuliana Slashcheva, Sergey Demchev","Ivan Chaban, Evelina Blyodans, Miroslava Karpovich",5.4,6,Rusya
Ferrari,,"Dram, Tarihi, Biyografi",Michael Mann,12/22/2023,"7,838","1,319,410","Mohammed Al Turki, Vahan Yepremyan","Adam Driver, Penélope Cruz, Shailene Woodley",6.5,3,ABD
Kral Fil,The Elephant King,"Macera, Komedi, Animasyon",Hadi Mohammadian,12/15/2023,"6,862","757,710",MEEM PRODUCTION S.A.R.L.,"Hamed Azizi, Georges Khabbaz, Bahman Hashemi",4.7,4,"İran, Lübnan, Malezya"
Mühr-ü Musallat 2: Yasak Düğün,,Koku,Metin Kuru,7/21/2023,"6,736","580,549","Mutluluk Fabrikası, Mag Film","Merve Kurç, Nevzat Can Rüzgar, Ufuk Kaplan",4.2,3,Türkiye
Simülasyon,Simulant,"Gerilim, Bilim-Kurgu",April Mullen,4/7/2023,"6,640","630,354","Tim Doiron,  James van der Woerd","Robbie Amell, Jordana Brewster, Simu Liu",5.2,2,Kanada
"Masal Zamanı 2 ""Sihirli Kapı""",,"Macera, Aile",Kubilay Güleçoğlu,10/6/2023,"6,612","705,381",Two Yapım,"Lavinya Ünlüer, Ata Berk Mutlu, Özkan Sağın",3.3,3,Türkiye
Roza,,Dram,Mustafa Kotan,10/6/2023,"6,428","615,180",Akiz Yapım,"Belçim Bilgin, Burak Sevinç, Fikret Kuşkan",3.4,4,Türkiye
Benim Babam Bir Kahraman,,"Aile, Dram",Orçun Benli,6/16/2023,"6,364","531,616",Cocoon Medya,"Ufuk Bayraktar, Mahir İpek, Selim Erdoğan",7.2,2,Türkiye
Havas İlm-i Cin,,"Korku, Gerilim",Hasan Gökalp,8/18/2023,"6,205","595,658","İgamedya Yayıncılık, FK Productions","Fırat Kahraman, Elif Çapkın, Seda Keskol",5.4,2,Türkiye
Resif: Kanlı Takip,The Reef: Stalked,"Korku, Gerilim",Andrew Traucki,7/14/2023,"6,178","581,140","Jack Christian, Neal Kingston, Michael Robertson","Teressa Liane, Ann Truong, Kate Lister",4.1,4,"ABD, Avustralya"
Sessiz Kabus,Sound of Silence,Korku,"Alessandro Antonaci, Daniel Lascar, Stefano Mandalà",8/11/2023,"6,134","592,355","Alessandro Antonaci , Daniel Lasca","Lucia Caporaso, Chiara Casolari, Micol Damilano",4.0,3,İtalya
Hadi Hayırlısı: Istakoz'un Haritası,,Komedi,Şiar Zaim,4/14/2023,"6,114","352,841",Willer Film,"Cengiz Küçükayvaz, Hakan Bilgin, Bülent Çolak",7.0,4,Türkiye
Eyvah Babam,About My Father,Komedi,Laura Terruso,6/2/2023,"6,090","616,625","Andrew Miano , Paul Weitz , Chris Weitz ","Robert De Niro, Kim Cattrall, Leslie Bibb",5.7,3,ABD
Kocamı Kim Öldürür?,,Komedi,Bilal Kalyoncu,9/22/2023,"5,753","536,156",2506,"Aleyna Solaker, Burak Satıbol, Hayrettin",3.1,2,Türkiye
Cin Hikayeleri Kayıp Bebek,,Korku,Kemal Danacı,5/26/2023,"5,683","432,449",Mil Yapım,"Erol Sertel, Zeynep Er, Efekan Güner",4.7,4,Türkiye
